1.0,-39.83084087807996,-70.0339606630861,-28.15055553567442,-49.53454482717601
2.0,-31.418256732741476,-54.54928023666014,-22.883899184966058,-39.646209587832075
3.0,-42.6137288791738,-75.3467551065973,-30.013605805193173,-53.34129687631101
4.0,-36.455858714990654,-63.820515763752695,-27.125480884336916,-48.94073289402298
5.0,-39.395709510208334,-68.95383307353853,-28.753200656388728,-52.09339087613999
6.0,-33.784420819021875,-58.765995821081006,-24.343315261094723,-42.40025862438007
7.0,-42.830692417329814,-75.41666432400963,-30.999494616325443,-56.39706141617337
8.0,-47.55550131638015,-84.76131614612638,-33.84415937472482,-62.03880986331008
9.0,-43.08234972198484,-75.8710895848222,-31.204217778224287,-56.860787760475056
10.0,-39.96895432222791,-70.76499729169137,-28.771751338264178,-51.141677510514086
11.0,-39.894339897301116,-69.98549611392113,-28.949608729647785,-52.196795888075044
12.0,-48.3363256342543,-85.80322059910083,-34.086095775036135,-62.44405627896562
13.0,-31.904014378209915,-55.45572702621939,-23.551357576395517,-41.35123761082467
14.0,-40.14793447089796,-70.7644511304997,-29.29573146436615,-52.88634937869122
15.0,-34.976074177890474,-61.13392284929462,-26.21651423002326,-47.25933136143266
16.0,-32.43095406618494,-56.2531819711113,-24.27427372957396,-43.319356714506235
17.0,-52.25834780277471,-93.50260512791263,-36.33204969150011,-67.04782762119203
18.0,-33.58805925181422,-58.40252679104146,-24.08362647794582,-41.64433079836694
19.0,-32.68270093849491,-56.66958659229288,-24.129866134101466,-42.87489328293525
20.0,-33.567978683220716,-58.447943355710706,-24.750721042289584,-43.95192633489998
21.0,-38.909327192466634,-68.5663085493695,-28.567412307899648,-51.638929379489696
22.0,-36.74402443870915,-64.05155662481481,-26.83084157393958,-48.0758171625175
23.0,-30.395845900916328,-52.48977647476649,-23.00902096209873,-40.891547010126025
24.0,-28.596968878838435,-49.0835612017584,-21.9101530362175,-38.86922042631416
25.0,-48.78482176854217,-86.9908868003827,-34.60442571872749,-63.6454782615997
26.0,-39.32255236299248,-68.74977144910726,-28.406392011205902,-51.049533495421024
27.0,-30.38500692010848,-52.542483111352624,-23.32827093424231,-41.49409066318828
28.0,-36.11471586289866,-63.622128191790466,-26.238355130975364,-46.040188791782825
29.0,-24.318252144185962,-40.692662308535375,-17.28549681612744,-27.242595932864575
