Catchment,AI_hg,AI_tw,EI_hg,EI_tw,w_hg,w_tw
Defreggental,0.7524625145704525,0.5719644506707231,0.31788766553980996,0.35193665736792945,1.4179718887836508,1.6689052653871779
Gailtal,0.0,0.3403594946016553,0.0,0.26587940445783476,NaN,1.8241643257229865
Feistritz,0.8130468167153126,0.6407029087612186,0.5671073646056297,0.5613148975699207,2.224728763103485,3.0255748021495905
Paltental,0.43917560282212154,0.3789755730506362,0.27806861872789046,0.3056538469241823,1.5953171654163272,1.962401446491349
Pitztal,0.6495776029802186,0.45841286783748125,0.46697682674769947,0.4459221982928603,2.056330648348416,3.863371269589289
Silbertal,0.41149117234129423,0.32487637271489633,0.28972677546745595,0.2991740076825473,1.715813191337315,2.4448182066799133
