Catchment,AI_hg,EI,w_specific_hg
Defreggental,0.6301892872989341,0.286935318759709,1.4179718887836508
Gailtal,0.0,0.28154048306620405,NaN
Feistritz,0.879251101774716,0.5928970307055175,2.224728763103485
Paltental,0.5752246185706178,0.3327658503097408,1.5953171654163272
Pitztal,0.5552898793997864,0.4199286248833687,2.056330648348416
Silbertal,0.4367231332549257,0.3024322537118507,1.715813191337315
