Catchment,EI,AI_tw,w_specific_tw
Defreggental,0.286935318759709,0.42372533230849907,1.6689052653871779
Gailtal,0.28154048306620405,0.3663879824767396,1.8241643257229865
Feistritz,0.879251101774716,0.6907917889839916,9.265223738914749
Paltental,0.5752246185706178,0.4230438709016656,5.888092202613159
Pitztal,0.5552898793997864,0.40802416941560554,5.689599035903792
Silbertal,0.4367231332549257,0.3289065140353791,4.546338142386928
