Catchment,AI,EI,w_specific
Defreggental,0.42372533230849907,0.286935318759709,1.6689052653871779
Gailtal,0.3663879824767396,0.28154048306620405,1.8241643257229865
Feistritz,0.6907917889839916,0.5928970307055175,3.0255748021495905
Paltental,0.4230438709016656,0.3327658503097408,1.962401446491349
Pitztal,0.40802416941560554,0.41644673742128646,3.8124879326612353
Silbertal,0.3289065140353791,0.3024322537118507,2.4448182066799133
