Catchment,RC_pro_hg,RC_pro_tw,Q_pro_tw,Q_pro_hg
Defreggental,0.731050402244098,0.6627702825182071,1.8452601346004207,2.035363080129619
Gailtal,0.0,0.6717534350389243,2.4634824254567897,0.0
Feistritz,0.4869892777510221,0.40710297642580207,0.9348888462508864,1.1183431966289843
Paltental,0.6967098097625044,0.6235673939133246,2.1771270764717467,2.432496961969544
Pitztal,0.5572236998306623,0.4772621502967027,1.208636880813722,1.4111345600318945
Silbertal,0.7106054896139575,0.6194293710050547,2.4070559119243073,2.7613594461073525
