Catchment,AI_hg,AI_tw,EI_hg,EI_tw,w_hg,w_tw
Defreggental,0.6660495503396046,0.465514170905604,0.30748844435848666,0.3179178010854351,1.443326014786681,1.7233232871324324
Gailtal,0.0,0.4029687748937734,0.0,0.3041222370106771,NaN,1.8343927626868126
Feistritz,0.9098389635474721,0.7254148148949127,0.6040607552339652,0.6134584728995516,2.224728763103485,3.0255748021495905
Paltental,0.5851331248011905,0.4419420298815446,0.32245499074902595,0.3282868226751301,1.5504504131763719,1.851284388418266
Pitztal,0.627100938030261,0.4541961032222021,0.45628035805438705,0.4421360945058672,2.056330648348416,3.863371269589289
Silbertal,0.451401227707255,0.3598094697727729,0.3096268347350164,0.3269844780721163,1.715813191337315,2.4448182066799133
