Catchment,AI_hg,AI_tw,EI_hg,EI_tw,w_hg,w_tw
Defreggental,0.6826779531363834,0.5390942486733008,0.3007453959552,0.3385911054428272,1.4179718887836508,1.6689052653871779
Gailtal,0.0,0.3413967877513689,0.0,0.26651406704247194,NaN,1.8241643257229865
Feistritz,0.8251620458404514,0.6585546227635923,0.5719998971977713,0.5728211850859091,2.224728763103485,3.0255748021495905
Paltental,0.39901036390093303,0.3510178975734603,0.2599230331147486,0.28764128885311124,1.5953171654163272,1.962401446491349
Pitztal,0.6446282716288912,0.45065161111811974,0.46464832876300255,0.4389452482972558,2.056330648348416,3.863371269589289
Silbertal,0.3540807988631814,0.2912976181138909,0.2591328970596436,0.2715289047464451,1.715813191337315,2.4448182066799133
