,Bare,Forest,Grass,Rip
,109967,109967,109967,109967
500,0,0.05291,0.18061,0.402033
700,0,0.252622,0.469193,0.372016
900,0,0.226218,0.261623,0.120322
1100,0,0.237247,0.043573,0.072855
1300,0,0.192473,0.015817,0.030138
1500,0,0.03853,0.029184,0.002636
