Catchment,P_observed_mean,Epot_observed_tw,Epot_observed_hg,w_specific_hg,w_specific_tw
Defreggental,2.50375072924404,1.0482188498901202,1.5529222203299398,1.443326014786681,1.7233232871324324
Gailtal,3.5386652758254704,1.3025933698057568,0.0,NaN,1.8343927626868126
Feistritz,2.29644316152839,1.58636407985225,2.0191501799368488,2.224728763103485,3.0255748021495905
Paltental,3.273797731582139,1.3905902208204644,1.8813836073043386,1.5504504131763719,1.851284388418266
Pitztal,2.5057199584570053,1.0223943048375252,1.391400933541228,2.056330648348416,3.863371269589289
Silbertal,3.925926556362338,1.291262818012057,1.7145429466232809,1.715813191337315,2.4448182066799133
