Catchment,AI_tw,EI,w_specific_tw
Defreggental,0.4186594286910542,0.2947392758584235,1.7233232871324324
Gailtal,0.3681030185885266,0.2838869309997376,1.8343927626868126
Feistritz,0.6907917889839916,0.5928970307055175,3.0255748021495905
Paltental,0.4247636338083811,0.3188230194256879,1.851284388418266
Pitztal,0.40802416941560554,0.4199286248833687,3.863371269589289
Silbertal,0.3289065140353791,0.3024322537118507,2.4448182066799133
