Catchment,AI_hg,AI_tw,EI,w_specific_hg,w_specific_tw
Defreggental,0.6301892872989341,0.42372533230849907,0.286935318759709,1.4179718887836508,1.6689052653871779
Gailtal,0.0,0.3663879824767396,0.28154048306620405,NaN,1.8241643257229865
Feistritz,0.879251101774716,0.6907917889839916,0.5928970307055175,2.224728763103485,3.0255748021495905
Paltental,0.5752246185706178,0.4230438709016656,0.3327658503097408,1.5953171654163272,1.962401446491349
Pitztal,0.5552898793997864,0.40802416941560554,0.4199286248833687,2.056330648348416,3.863371269589289
Silbertal,0.4367231332549257,0.3289065140353791,0.3024322537118507,1.715813191337315,2.4448182066799133
