Catchment,AI_tw,EI,w_tw
Defreggental,0.6295372024241307,0.3740131793986057,1.6689052653871779
Gailtal,0.40367434189934237,0.3030448117493214,1.8241643257229865
Feistritz,0.6164620884119554,0.5452455673376757,3.0255748021495905
Paltental,0.42114779001515457,0.33163073817555855,1.962401446491349
Pitztal,0.5326613758590638,0.5106544844994829,3.863371269589289
Silbertal,0.3767898029052135,0.34014725158149695,2.4448182066799133
