Catchment,RC_pro_hg,RC_pro_tw
Defreggental,0.6895886941535332,0.6642664675404584
Gailtal,0.0,0.7350453888033182
Feistritz,0.4516700654834953,0.45519155658957744
Paltental,0.7355585698835287,0.7109867096390179
Pitztal,0.5364047393231044,0.5646785329075588
Silbertal,0.6928395213335281,0.6847166762803429
