n,TW_Grass,TW_Forest
1.0,-76.23309953729556,-131.45495492063347
2.0,-76.04893720514929,-131.12320043244029
3.0,-75.58265016124547,-130.50391454730263
4.0,-75.75839860892584,-130.94873153978895
5.0,-74.95515461742562,-129.36650313459188
6.0,-77.11145755213862,-132.67600578466428
7.0,-76.1979266045315,-131.5109222553542
8.0,-77.41632160247931,-133.24728368266688
9.0,-76.45759839186917,-131.67399361026628
10.0,-77.33690405129016,-133.0812026165516
11.0,-76.53299127756202,-131.85213477501387
12.0,-76.9633888797151,-132.20549873815133
13.0,-76.91413082279914,-132.3360513811087
14.0,-76.09702646177297,-131.28899178959188
15.0,-76.62288324784555,-132.01029350979567
16.0,-76.91619025039661,-132.2801443558173
17.0,-76.22481063178552,-131.5999069193145
18.0,-77.23697336600296,-132.77314658292315
19.0,-77.52425139282431,-133.03018212075534
20.0,-77.22047846683296,-132.7991449681023
21.0,-76.32150721927476,-131.72022243273838
22.0,-77.99781684810104,-133.75674356034557
23.0,-77.85965739643228,-133.61492064341962
24.0,-77.6426117641284,-133.16747042130183
25.0,-77.87706048202003,-133.48786784083498
26.0,-77.57255929658656,-133.04496104267764
27.0,-77.64674170993575,-133.15038706440023
28.0,-76.9597840093961,-132.5025354671285
29.0,-76.4503453716419,-131.92929084545887
30.0,-77.9768822890407,-133.68507375131753
31.0,-77.87388722385671,-133.3960704258729
32.0,-76.7906621755347,-132.51193859918396
33.0,-77.02956404403163,-132.56754299222706
34.0,-76.6971216544114,-132.00322497200222
35.0,-76.86706322623988,-132.20603823906598
36.0,-75.80177874365455,-130.96552804044478
37.0,-76.43585062228402,-131.84891590634922
38.0,-77.52161202036724,-133.27594061570116
39.0,-72.96401068401738,-126.84533745134917
40.0,-76.87410891147236,-132.34179177784472
41.0,-76.47035889882663,-131.86741814605801
42.0,-77.74057505037695,-133.2921000746075
43.0,-77.3683215006551,-133.32084141619958
44.0,-77.74879860792322,-133.4816817705809
45.0,-77.88709422676342,-133.52437427566053
46.0,-76.98950661740191,-132.45956419905397
47.0,-77.65007502537834,-133.25780109349577
48.0,-76.43034345659967,-131.77936780611623
49.0,-75.93305494895893,-131.02431541397345
50.0,-77.10529867772509,-132.50084714895155
51.0,-76.90574289621605,-132.33730371950406
52.0,-77.1137691277559,-132.66563457077416
53.0,-77.91764755589915,-133.44251835562727
54.0,-76.50084870703955,-131.72860160114206
55.0,-76.0237785387742,-131.12812161005394
56.0,-76.02105466532248,-131.1834990679693
57.0,-74.88101869740953,-129.26124736917785
58.0,-77.88499793475052,-133.3758380213394
59.0,-77.00249933014683,-132.54425637833438
60.0,-78.17862176067354,-133.88714161729507
61.0,-77.24963467666579,-132.7387338599801
62.0,-76.23980565064736,-131.58280815741878
63.0,-77.39021686643726,-132.8193032014954
64.0,-76.60159379824462,-131.8443170204827
65.0,-76.43955987106135,-131.58770099959645
66.0,-77.05439450222858,-132.3270294916357
67.0,-77.00290154715752,-132.34058692453613
68.0,-77.1287936507484,-132.54282776161222
69.0,-78.23976385401909,-134.06720449927326
70.0,-77.45437635315534,-132.7527226755312
71.0,-76.64010633545647,-132.17482978608976
72.0,-77.25153346331854,-132.56430491564666
73.0,-78.23614996252934,-133.9224523757403
74.0,-77.69441296726988,-133.2979671231099
75.0,-77.36028032131355,-132.67280474099144
76.0,-77.64335986557293,-133.08333134092354
77.0,-76.74215136480704,-131.88658276397513
78.0,-76.91320718759383,-132.30842954923796
79.0,-76.38256256457802,-131.74971025882422
80.0,-76.69835147162956,-132.31385003258885
81.0,-77.31924761686125,-132.68168644973974
82.0,-76.3138375169899,-131.5966249051038
83.0,-77.47724339127154,-133.04934341240164
84.0,-77.3791353090584,-132.70828941279905
85.0,-76.65121466514418,-132.3678025785029
86.0,-77.75414919417057,-133.4140550496169
87.0,-77.66073154586785,-133.10736469261025
88.0,-78.20334416307757,-133.9030098668687
89.0,-76.38283562363962,-131.8682853848229
90.0,-76.7527936751194,-132.0581928129937
91.0,-77.42007019675475,-132.9882074870814
92.0,-76.49566166780826,-131.72369097956948
93.0,-76.93690137677012,-132.43021024846627
94.0,-76.40901814150142,-131.7400442998054
95.0,-77.69782722048967,-133.3416041915984
96.0,-77.88695945628874,-133.856854308689
97.0,-77.64551200462884,-133.0462227992291
98.0,-77.98166651974367,-133.62306660541256
99.0,-77.68481073328905,-133.1215460103101
100.0,-77.21448432028369,-132.84858822930863
