n,TW_Grass,TW_Forest
1.0,-64.74261666126807,-119.97404027416604
2.0,-64.49073110120885,-119.14628339717751
3.0,-63.52994184542371,-117.46349002199446
4.0,-61.91510289562487,-116.62210266918777
5.0,-61.27622044283558,-115.18607339124054
6.0,-70.09820475485441,-127.78354057393716
7.0,-67.52979730576848,-123.9748903531125
8.0,-68.28413926614299,-124.78768774097489
9.0,-67.95767572901623,-125.25734599567997
10.0,-70.21105697829069,-127.72401507376264
11.0,-68.34023779243823,-125.83514525031322
12.0,-69.94109706664946,-126.9979914556799
13.0,-69.14979085270765,-126.53615313054925
14.0,-64.26076464021003,-118.38469730303999
15.0,-69.2399266527047,-126.08608180365832
16.0,-69.50665858620593,-126.50469798911521
17.0,-66.01065389344197,-120.96921882282543
18.0,-70.66557055121925,-128.59103373886114
19.0,-70.6929960677345,-127.99107064680443
20.0,-70.66440350278303,-128.0080404798217
21.0,-68.22156425270468,-125.1092242308473
22.0,-71.4358789075732,-129.2028272010344
23.0,-71.54594779250168,-129.79660386286636
24.0,-71.93577032803816,-130.37172332849323
25.0,-72.46637448390781,-131.36944934601567
26.0,-71.15351738719673,-128.86416952385858
27.0,-70.50816455872264,-127.5385879828797
28.0,-69.85048293669351,-127.15623864744575
29.0,-65.69381642701083,-121.73085909765175
30.0,-71.21664616429979,-128.71615969179174
31.0,-72.0425969340838,-130.43777065397597
32.0,-69.51359067999681,-127.03465889239256
33.0,-69.1684344383202,-125.51975074306829
34.0,-69.16201656565099,-125.56429549310023
35.0,-70.08769063458809,-128.09797807427051
36.0,-62.61330982741268,-116.65513890417013
37.0,-68.97557557925674,-126.35336090641809
38.0,-70.414570420519,-128.41374041911658
39.0,-58.313237540796095,-111.88352978534203
40.0,-70.07373872508744,-127.46267270014954
41.0,-65.33208035227321,-120.19449993221295
42.0,-72.42359668986225,-131.37878147210353
43.0,-67.49682091506712,-123.67736086408343
44.0,-71.44406501766295,-129.57871546134365
45.0,-71.56876030542556,-129.58461988065213
46.0,-69.73911210605377,-127.47279690515089
47.0,-71.30820317119186,-128.83221105417502
48.0,-68.740809333869,-125.39523788906146
49.0,-64.44981646897219,-119.31123882743066
50.0,-70.1883250405651,-127.16115955904826
51.0,-69.29624946699576,-127.68308418436479
52.0,-68.71120532646007,-126.47006598380725
53.0,-72.02177023142032,-130.3684882714765
54.0,-69.47961562673318,-126.39065755071374
55.0,-68.58305909107885,-125.6510073660899
56.0,-68.45708751121612,-125.43572706116346
57.0,-61.29424907328516,-115.00368336775446
58.0,-71.8404854356526,-129.9157208339647
59.0,-69.13168224719604,-126.4787388265683
60.0,-73.48915164294027,-133.4406902490523
61.0,-71.45416493402605,-129.73457267706243
62.0,-62.095327678800814,-116.99160684998297
63.0,-71.18410474104023,-129.00767556377812
64.0,-68.99298084385464,-125.25169547435925
65.0,-67.31932519419121,-124.01889164526126
66.0,-69.86805843932619,-126.45615801326258
67.0,-70.28233527070977,-127.24271591945356
68.0,-70.2048498099438,-127.37651997292248
69.0,-72.43545304722794,-130.67349667744816
70.0,-70.694677973052,-128.01661613209285
71.0,-66.77949758461499,-122.62147950221042
72.0,-70.94901061792375,-128.66735243370624
73.0,-73.89421559970316,-134.48355674488795
74.0,-72.55095382657366,-131.7783451596486
75.0,-71.91995300846492,-131.12226740500475
76.0,-72.0690993629492,-130.83424376064036
77.0,-70.25685098178985,-127.6418169187877
78.0,-64.88264418889264,-119.99107391484075
79.0,-65.35756268867866,-120.43742531442899
80.0,-68.16914916918348,-123.90412529399873
81.0,-72.09174375019076,-131.52579395239437
82.0,-68.16972378252474,-124.8753753904324
83.0,-70.48608466958837,-127.90899854025915
84.0,-71.60074511921762,-130.14057962888995
85.0,-67.62809836411252,-124.15929650699522
86.0,-70.7792315153279,-128.06063041865258
87.0,-70.90325151769662,-128.07887932124035
88.0,-73.7819176450333,-134.16935302552866
89.0,-66.54746917990343,-121.4532833214357
90.0,-67.62945131971983,-124.5776386879813
91.0,-70.61712123625307,-128.22711127970157
92.0,-69.14094657035889,-125.78141764031199
93.0,-68.71565780144469,-125.67714490040112
94.0,-68.06048653285525,-124.73031477822762
95.0,-70.84223112878418,-128.18323149699813
96.0,-71.00342750713901,-129.20800465895258
97.0,-72.39302623270895,-131.83502847296688
98.0,-71.49312198417802,-129.0654835366679
99.0,-70.98337649861946,-128.25145006007625
100.0,-70.7112669467787,-128.68322264595562
