Catchment,AI_hg,AI_tw,EI_hg,EI_tw,w_hg,w_tw
Defreggental,0.7403664049960273,0.5443335020900807,0.3268010047285661,0.3538016233837451,1.443326014786681,1.7233232871324324
Gailtal,0.0,0.41252852478928126,0.0,0.3095083521646633,NaN,1.8343927626868126
Feistritz,0.9194357651494298,0.7317507733105525,0.6074702715665594,0.6171100738881885,2.224728763103485,3.0255748021495905
Paltental,0.6231342528898045,0.4765962498493583,0.33526914060630975,0.346738290972779,1.5504504131763719,1.851284388418266
Pitztal,0.6575049361719318,0.4915529129506495,0.4706751979763806,0.47528412151133104,2.056330648348416,3.863371269589289
Silbertal,0.476245505832802,0.3716045332969675,0.3214871346981152,0.3361525678004047,1.715813191337315,2.4448182066799133
