,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,0.022181,0.022323,0.022465,0.022607,0.022749,0.022891,0.023033,0.023175,0.023317,0.023459,0.023601,0.023743,0.023885,0.024027,0.024169,0.024311,0.024453,0.024595,0.024737,0.024879,0.025021,0.025163,0.025305,0.025447,0.025589,0.025731,0.025873,0.026015,0.026157,0.023251,0.020344,0.017438,0.014532,0.011625,0.008719,0.005813,0.002906,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500,0.045636,0.045513,0.04539,0.045267,0.045144,0.045021,0.044898,0.044775,0.044653,0.04453,0.044407,0.044284,0.044161,0.044038,0.043915,0.043792,0.043669,0.043546,0.043423,0.0433,0.043177,0.043054,0.042931,0.042808,0.042685,0.042562,0.042439,0.042317,0.042194,0.040475,0.038755,0.037036,0.035317,0.033598,0.031879,0.03016,0.028441,0.026722,0.025003,0.023284,0.021564,0.019845,0.018126,0.016407,0.014688,0.012969,0.01125,0.00970333,0.0086447,0.00738312,0.00696912,0.00654499,0.00642354,0.00633646,0.00628834,0.0061623,0.00590565,0.00573836,0.00553212,0.00536255,0.00508298,0.00486528,0.00465445,0.00444592,0.00406552,0.00380886,0.00349721,0.00308473,0.00272724,0.00247517,0.0021131,0.00166625,0.00120106,0.00061442,0.00011486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2700,0.181967,0.180584,0.179202,0.177819,0.176437,0.175054,0.173672,0.172289,0.170907,0.169524,0.168142,0.166759,0.165377,0.163994,0.162612,0.161229,0.159847,0.158464,0.157082,0.155699,0.154317,0.152935,0.151552,0.15017,0.148787,0.147405,0.146022,0.14464,0.143257,0.140246,0.137235,0.134224,0.131213,0.128202,0.12519,0.122179,0.119168,0.116157,0.113146,0.110135,0.107124,0.104112,0.101101,0.09809,0.095079,0.092068,0.089057,0.08864699,0.08748443,0.08448092,0.08268899,0.07924059,0.07565057,0.07245866,0.06896858,0.06447028,0.06062334,0.0572327,0.05381683,0.04861995,0.04277317,0.03674354,0.02987344,0.02423856,0.01835908,0.01411578,0.01118993,0.00951921,0.00894413,0.00863571,0.00811889,0.0075679,0.00704332,0.00653409,0.00632576,0.00593771,0.00563729,0.00525939,0.00491786,0.00451309,0.00398498,0.00348059,0.00287818,0.00234691,0.00158954,0.000527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2900,0.393579,0.390923,0.388266,0.385609,0.382952,0.380295,0.377638,0.374981,0.372324,0.369668,0.367011,0.364354,0.361697,0.35904,0.356383,0.353726,0.351069,0.348413,0.345756,0.343099,0.340442,0.337785,0.335128,0.332471,0.329814,0.327158,0.324501,0.321844,0.319187,0.316042,0.312897,0.309752,0.306607,0.303462,0.300317,0.297172,0.294027,0.290882,0.287737,0.284592,0.281447,0.278302,0.275157,0.272012,0.268867,0.265722,0.262577,0.2580409,0.25711599,0.25104286,0.24835611,0.24318511,0.23799686,0.23302832,0.22653428,0.21937429,0.21308532,0.20670902,0.20147515,0.195648,0.1902526,0.18425041,0.17889636,0.17222624,0.16534107,0.15930458,0.15105545,0.1397391,0.12956617,0.12237895,0.11369212,0.10408918,0.09196707,0.08090259,0.07200129,0.06334376,0.05553176,0.04701658,0.04530598,0.0423491,0.03993558,0.0371835,0.03547794,0.03372017,0.03213649,0.03017056,0.02909942,0.02818949,0.02691639,0.02550471,0.02462957,0.02323924,0.02195412,0.02036374,0.01894322,0.01768233,0.01605251,0.01442083,0.01246801,0.01111106,0.00926034,0.00717201,0.00478854,0.00303063,0.00118919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3100,0.586492,0.584281,0.582069,0.579858,0.577647,0.575436,0.573225,0.571013,0.568802,0.566591,0.56438,0.562168,0.559957,0.557746,0.555535,0.553324,0.551112,0.548901,0.54669,0.544479,0.542268,0.540056,0.537845,0.535634,0.533423,0.531212,0.529,0.526789,0.524578,0.522757,0.520936,0.519115,0.517294,0.515473,0.513652,0.511831,0.510009,0.508188,0.506367,0.504546,0.502725,0.500904,0.499083,0.497262,0.495441,0.49362,0.491798,0.49008998,0.49063833,0.48685754,0.48515993,0.48044246,0.47599301,0.47223047,0.46788041,0.46258638,0.45784791,0.45069315,0.44556474,0.44082787,0.43495048,0.42914322,0.42547236,0.41897737,0.41190537,0.4053582,0.39893315,0.39149112,0.38422965,0.37778207,0.37026543,0.36103368,0.34939235,0.34036439,0.33292769,0.32602069,0.31942055,0.31013717,0.2993944,0.28182049,0.26436627,0.24790937,0.23727944,0.21678673,0.19791483,0.18254637,0.16761853,0.15342888,0.14390685,0.13232798,0.11944289,0.11103647,0.10194848,0.09407755,0.08797331,0.08162704,0.07568732,0.06727419,0.05949207,0.05193819,0.04454986,0.03904085,0.03586025,0.03350491,0.03126373,0.02833197,0.0252366,0.02193294,0.01988285,0.01766742,0.01367268,0.01127104,0.00910972,0.00647663,0.00244638,7.395e-5,5.777e-5,5.084e-5,3.928e-5,3.004e-5,2.311e-5,1.387e-5,1.155e-5,9.24e-6,6.93e-6,6.93e-6,4.62e-6,0.0,0.0,0.0,0.0,0.0
