,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2300,0.022181,0.022323,0.022465,0.022607,0.022749,0.022891,0.023033,0.023175,0.023317,0.023459,0.023601,0.023743,0.023885,0.024027,0.024169,0.024311,0.024453,0.024595,0.024737,0.024879,0.025021,0.025163,0.025305,0.025447,0.025589,0.025731,0.025873,0.026015,0.026157,0.023251,0.020344,0.017438,0.014532,0.011625,0.008719,0.005813,0.002906,0,0,0,0,0,0,0,0,0,0
2500,0.045636,0.045513,0.04539,0.045267,0.045144,0.045021,0.044898,0.044775,0.044653,0.04453,0.044407,0.044284,0.044161,0.044038,0.043915,0.043792,0.043669,0.043546,0.043423,0.0433,0.043177,0.043054,0.042931,0.042808,0.042685,0.042562,0.042439,0.042317,0.042194,0.040475,0.038755,0.037036,0.035317,0.033598,0.031879,0.03016,0.028441,0.026722,0.025003,0.023284,0.021564,0.019845,0.018126,0.016407,0.014688,0.012969,0.01125
2700,0.181967,0.180584,0.179202,0.177819,0.176437,0.175054,0.173672,0.172289,0.170907,0.169524,0.168142,0.166759,0.165377,0.163994,0.162612,0.161229,0.159847,0.158464,0.157082,0.155699,0.154317,0.152935,0.151552,0.15017,0.148787,0.147405,0.146022,0.14464,0.143257,0.140246,0.137235,0.134224,0.131213,0.128202,0.12519,0.122179,0.119168,0.116157,0.113146,0.110135,0.107124,0.104112,0.101101,0.09809,0.095079,0.092068,0.089057
2900,0.393579,0.390923,0.388266,0.385609,0.382952,0.380295,0.377638,0.374981,0.372324,0.369668,0.367011,0.364354,0.361697,0.35904,0.356383,0.353726,0.351069,0.348413,0.345756,0.343099,0.340442,0.337785,0.335128,0.332471,0.329814,0.327158,0.324501,0.321844,0.319187,0.316042,0.312897,0.309752,0.306607,0.303462,0.300317,0.297172,0.294027,0.290882,0.287737,0.284592,0.281447,0.278302,0.275157,0.272012,0.268867,0.265722,0.262577
3100,0.586492,0.584281,0.582069,0.579858,0.577647,0.575436,0.573225,0.571013,0.568802,0.566591,0.56438,0.562168,0.559957,0.557746,0.555535,0.553324,0.551112,0.548901,0.54669,0.544479,0.542268,0.540056,0.537845,0.535634,0.533423,0.531212,0.529,0.526789,0.524578,0.522757,0.520936,0.519115,0.517294,0.515473,0.513652,0.511831,0.510009,0.508188,0.506367,0.504546,0.502725,0.500904,0.499083,0.497262,0.495441,0.49362,0.491798
3300,0.693563,0.691502,0.689441,0.68738,0.685319,0.683257,0.681196,0.679135,0.677074,0.675013,0.672952,0.670891,0.66883,0.666769,0.664707,0.662646,0.660585,0.658524,0.656463,0.654402,0.652341,0.65028,0.648218,0.646157,0.644096,0.642035,0.639974,0.637913,0.635852,0.634051,0.63225,0.63045,0.628649,0.626849,0.625048,0.623247,0.621447,0.619646,0.617845,0.616045,0.614244,0.612444,0.610643,0.608842,0.607042,0.605241,0.60344
3500,0.921884,0.919962,0.91804,0.916118,0.914196,0.912274,0.910353,0.908431,0.906509,0.904587,0.902665,0.900743,0.898821,0.896899,0.894977,0.893055,0.891134,0.889212,0.88729,0.885368,0.883446,0.881524,0.879602,0.87768,0.875758,0.873837,0.871915,0.869993,0.868071,0.866735,0.8654,0.864065,0.862729,0.861394,0.860059,0.858723,0.857388,0.856052,0.854717,0.853382,0.852046,0.850711,0.849375,0.84804,0.846705,0.845369,0.844034
3700,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999889,0.999778,0.999668,0.999557,0.999446,0.999335,0.999224,0.999114,0.999003,0.998892,0.998781,0.998671,0.99856,0.998449,0.998338,0.998227,0.998117,0.998006
