Catchment,RC_pro_hg,RC_pro_tw
Defreggental,0.6686228214958285,0.6274968214287029
Gailtal,0.0,0.6897175041612043
Feistritz,0.4419947018558983,0.4416934151920846
Paltental,0.720564015955705,0.6738571344728292
Pitztal,0.47533258100122033,0.4653053854686757
Silbertal,0.6904785752437141,0.6300143435325056
