index,TW_min,TW_max,HG_min,HG_max
OP_grass,34.018321088756814,37.94532884677428,24.897105815605194,30.375206436492363
MP_grass,19.03796597001706,45.833746828068435,15.388999383002592,29.094037012369334
MF_grass,36.32484596932819,48.05836531714674,26.516943228823784,34.97974043210293
OP_forest,56.624247151621745,62.07930830968153,41.45450700290458,50.610161034949144
MP_forest,35.19042895998112,76.48400153893411,24.888702631418578,46.60913417099157
MF_forest,69.57526583563804,88.65765262164561,47.54162209770824,65.2975952201925
