index,TW_min,TW_max
OP_grass,106.40570020067108,109.55446050449768
MF_grass,119.25090442527161,137.1918614929834
OP_forest,201.46347499444354,206.62374068298527
MF_forest,226.28563276863568,262.7379300275876
