Catchment,AI_hg,AI_tw,EI_hg,EI_tw,w_hg,w_tw
Defreggental,0.6809987757658069,0.5863834035109006,0.3003163124738062,0.3576166169296968,1.4179718887836508,1.6689052653871779
Gailtal,0.0,0.3856467602627212,0.0,0.2927814831703228,NaN,1.8241643257229865
Feistritz,0.7878949694165793,0.6365469791973479,0.5566920605586199,0.5585963191615082,2.224728763103485,3.0255748021495905
Paltental,0.3468987775731073,0.36293754543539297,0.23480520794141335,0.2953996929340532,1.5953171654163272,1.962401446491349
Pitztal,0.5273592178623157,0.41027539350863207,0.4048475880104858,0.40208859532831887,2.056330648348416,3.863371269589289
Silbertal,0.3716226648409332,0.3067245536885301,0.26873892394227794,0.28433954836138065,1.715813191337315,2.4448182066799133
