Catchment,AI_hg,AI_tw,EI_hg,EI_tw,w_hg,w_tw
Defreggental,0.5094495793584516,0.48818797479611026,0.2516785256218501,0.316768350992634,1.4179718887836508,1.6689052653871779
Gailtal,0.0,0.39094116569053317,0.0,0.2958213206833489,NaN,1.8241643257229865
Feistritz,0.6907917889839916,0.6907917889839916,0.5130107222489779,0.5928970235741979,2.224728763103485,3.0255748021495905
Paltental,0.4526505671931539,0.45600098010875134,0.2839359196019038,0.3520578473451641,1.5953171654163272,1.962401446491349
Pitztal,0.5126925385693959,0.47722033349086607,0.39670738153199614,0.4626733412807462,2.056330648348416,3.863371269589289
Silbertal,0.374485361896932,0.38122132726864044,0.27028453294601307,0.3435439198460466,1.715813191337315,2.4448182066799133
