Catchment,AI_hg,EI,w_hg
Defreggental,0.5094495793584516,0.2516785256218501,1.4179718887836508
Gailtal,0.0,0.0,NaN
Feistritz,0.6907917889839916,0.5130107222489779,2.224728763103485
Paltental,0.4526505671931539,0.2839359196019038,1.5953171654163272
Pitztal,0.5126925385693959,0.39670738153199614,2.056330648348416
Silbertal,0.374485361896932,0.27028453294601307,1.715813191337315
