field_1,field_2
12.711660000000000,46.737960999999999
12.750920000000001,46.738151999999999
12.711980000000001,46.710971999999998
12.751220000000000,46.711159000000002
12.712289999999999,46.683979000000001
12.751510000000000,46.684170000000002
12.712600000000000,46.656990000000000
12.751810000000001,46.657169000000003
12.790190000000001,46.738337999999999
12.790459999999999,46.711348999999998
12.829700000000001,46.711539999999999
12.868950000000000,46.711720000000000
12.790740000000000,46.684361000000003
12.829960000000000,46.684539999999998
12.869180000000000,46.684730999999999
12.791010000000000,46.657359999999997
12.830209999999999,46.657550999999998
12.869410000000000,46.657741999999999
12.869650000000000,46.630749000000002
