Catchment,AI_hg,AI_tw,EI_hg,EI_tw,w_hg,w_tw
Defreggental,0.6376071398251961,0.47953044583778714,0.2996536483419203,0.32457405552171514,1.443326014786681,1.7233232871324324
Gailtal,0.0,0.41469344083798765,0.0,0.3107186272206197,NaN,1.8343927626868126
Feistritz,0.9878255828705165,0.8169316149329553,0.6305465813298525,0.6629441442379096,2.224728763103485,3.0255748021495905
Paltental,0.573353376623851,0.46069711949199427,0.31835898749045755,0.33837729330260125,1.5504504131763719,1.851284388418266
Pitztal,0.6288666612147084,0.46841501784834266,0.4571320482242127,0.45485875126154895,2.056330648348416,3.863371269589289
Silbertal,0.39975929708068897,0.3520653405218,0.2836693289026142,0.320903891574736,1.715813191337315,2.4448182066799133
