Catchment,RC_pro_hg,RC_pro_tw,Q_pro_tw,Q_pro_hg
Defreggental,0.6874821106870228,0.6665729660524216,1.809068177582053,1.8658152557045444
Gailtal,0.0,0.6920363615648146,2.6027516284189023,0.0
Feistritz,0.37179208412980014,0.3404730183607654,0.7867803427762944,0.859153846614665
Paltental,0.6719915874473812,0.6531076220025789,2.267879388476528,2.3334528936113386
Pitztal,0.5251673924737337,0.5095198694009617,1.2549156427374737,1.2934545156124477
Silbertal,0.6912642020181454,0.6752902379481649,2.7348901662971956,2.799583885822174
